"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/FC_DAC_1904_Dunajská_Streda","","","","","","žlto-modrý","","","","","","FC DAC 1904 Dunajská Streda","DAC;;FC DAC 1904 Dunajská Streda",""
"http://pt.wikipedia.org/wiki/Aeritalia","","","","","","","","","","","","Aeritalia","Aeritalia",""
"http://pt.wikipedia.org/wiki/Escola_Secundária_de_Sampaio","","","","","","","","","","","","Escola Secundária de Sampaio","Escola Secundária de Sampaio",""
"http://pt.wikipedia.org/wiki/Afton_Chemical","","","","","","","","","","","","Afton Chemical","Afton Chemical Corporation",""
"http://pt.wikipedia.org/wiki/Rádio_Ipanema_AM","","","","","","","","","","","","Rádio Ipanema AM","Ipanema AM;;Sistema Ipanema de Comunicação Ltda.",""
"http://pt.wikipedia.org/wiki/KDS_Safasaf_Football_Club","","","","","","","","","","","","KDS Safasaf Football Club","KDS Safasaf Football Club",""
"http://pt.wikipedia.org/wiki/Football_Club_Astana","","","","","","Os auriazuis","","","","","","Football Club Astana","Astana;;Football Club Astana",""
"http://pt.wikipedia.org/wiki/Destinee_&_Paris","","","","","","","","","","","","Destinee & Paris","Destinee & Paris",""
"http://pt.wikipedia.org/wiki/Valid","","","","","","","","","","","","Valid","Valid S/A",""
"http://pt.wikipedia.org/wiki/TV_Verde_Azul","","","","","","","","","","","","TV Verde Azul","TV Verde Azul",""
"http://pt.wikipedia.org/wiki/Jagdgeschwader_130","","","","","","","","","","","","Jagdgeschwader 130","Jagdgeschwader 130",""
"http://pt.wikipedia.org/wiki/Henan_Jianye_Football_Club","","","","","","","","","","","","Henan Jianye Football Club","Henan Jianye Football Club",""
"http://pt.wikipedia.org/wiki/Associação_Atlética_Avareense","","","","","","Fantasma da Sorocabana","","","","","","Associação Atlética Avareense","A.A.A.;;Associação Athlética Avareense",""
