"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Ralph_Wilson","","","","","","","","","","","","Ralph Wilson","Ralph Charles Wilson;;Ralph Wilson",""
"","","http://pt.wikipedia.org/wiki/Friedrich_Wilhelm_Levi","","","","","","","","","","","","Friedrich Wilhelm Levi","Friedrich Wilhelm Levi",""
"","","http://pt.wikipedia.org/wiki/Anna_Fisher","","","","","","","","","","","","Anna Fisher","Anna Fisher",""
"","","http://pt.wikipedia.org/wiki/Marcia_Novo","","","","","Marcia Almeida Novo","","","","","","","Marcia Novo","Marcia Novo",""
"","","http://pt.wikipedia.org/wiki/Casey_Kasem","","","","","","","","","","","","Casey Kasem","Casey Kasem",""
"","","http://pt.wikipedia.org/wiki/Tracy_Curry","","","","","Tracy Lynn Curry","The D.O.C, Doc-T, The Diggy Diggy Doc","","","","","","Tracy Curry","Tracy Curry",""
"","","http://pt.wikipedia.org/wiki/Charles_Winckler","","","","","","","","","","","","Charles Winckler","Charles Gustav Wilhelm Winckler",""
"","","http://pt.wikipedia.org/wiki/Gardnar_Mulloy","","","","","","","","","","","","Gardnar Mulloy","Gardnar Mulloy",""
"","","http://pt.wikipedia.org/wiki/Ian_Axford","","","","","","","","","","","","Ian Axford","Ian Axford",""
"","","http://pt.wikipedia.org/wiki/William_Arthur_Conceição_dos_Santos","","","","","","","","","","","","William Arthur Conceição dos Santos","William;;William Arthur Conceição Santos",""
"","","http://pt.wikipedia.org/wiki/Aisam-ul-Haq_Qureshi","","","","","","","","","","","","Aisam-ul-Haq Qureshi","Aisam-ul-Haq Qureshi;;اعصام الحق قریشی",""
"","","http://pt.wikipedia.org/wiki/Osni_Oliveira_Noberto_da_Silva","","","","","","","","","","","","Osni Oliveira Noberto da Silva","Osni Oliveira Noberto da Silva",""
"","","http://pt.wikipedia.org/wiki/Bryan_Steel","","","","","","","","","","","","Bryan Steel","Bryan Steel",""
"","","http://pt.wikipedia.org/wiki/Henry_A._Wallace","","","","","","","","","","","","Henry A. Wallace","Henry A. Wallace",""
"","","http://pt.wikipedia.org/wiki/Andrzej_Juskowiak","","","","","","Jusko","","","","","","Andrzej Juskowiak","Andrzej Juskowiak;;Andrzej Mieczysław Juskowiak",""
"","","http://pt.wikipedia.org/wiki/Nefertum","","","","","","","","","","","","Nefertum","Nefertum",""
"","","http://pt.wikipedia.org/wiki/Agildo_Ribeiro","","","","","","","","","","","","Agildo Ribeiro","Agildo Ribeiro",""
"William Franklin Beedle, Jr.","","http://pt.wikipedia.org/wiki/William_Holden","","","","","","","","","","","","William Holden","William Holden",""
"","","http://pt.wikipedia.org/wiki/Fábio_Noronha_de_Oliveira","","","","","","","","","","","","Fábio Noronha de Oliveira","Fábio Noronha;;Fábio Noronha de Oliveira",""
"","","http://pt.wikipedia.org/wiki/George_Nevinson","","","","","","","","","","","","George Nevinson","George Nevinson;;George Wilfred Nevinson",""
